,precision,recall,f1-score,support
ANGRY,0.11754684838160136,0.2827868852459016,0.16606498194945846,244.0
DISLIKE,0.17777777777777778,0.13043478260869565,0.15047021943573669,184.0
OTHER,0.8471104608632041,0.5,0.6288351887048602,2316.0
PESSIMISTIC,0.14520547945205478,0.381294964028777,0.2103174603174603,278.0
WORRIED,0.07874015748031496,0.39215686274509803,0.13114754098360654,51.0
accuracy,0.4480963228115848,0.4480963228115848,0.4480963228115848,0.4480963228115848
macro avg,0.2732761447909906,0.33733469892569445,0.2573670782782244,3073.0
weighted avg,0.6728549433109566,0.4480963228115848,0.5173268635114604,3073.0
