,precision,recall,f1-score,support
ANGRY,0.13278688524590163,0.3319672131147541,0.18969555035128804,244.0
DISLIKE,0.3,0.03260869565217391,0.058823529411764705,184.0
OTHER,0.8118609406952966,0.6856649395509499,0.7434456928838951,2316.0
PESSIMISTIC,0.08663366336633663,0.12589928057553956,0.10263929618768328,278.0
WORRIED,0.13253012048192772,0.21568627450980393,0.16417910447761197,51.0
accuracy,0.5600390497884803,0.5600390497884803,0.5600390497884803,0.5600390497884803
macro avg,0.29276232195789254,0.2783652806806443,0.2517566346624486,3073.0
weighted avg,0.650411042372511,0.5600390497884803,0.5909002040628423,3073.0
