,precision,recall,f1-score,support
ANGRY,0.20098039215686275,0.1680327868852459,0.1830357142857143,244.0
DISLIKE,0.453551912568306,0.45108695652173914,0.452316076294278,184.0
OTHER,0.813953488372093,0.831174438687392,0.8224738303781243,2316.0
PESSIMISTIC,0.29285714285714287,0.2949640287769784,0.2939068100358423,278.0
WORRIED,0.14634146341463414,0.11764705882352941,0.13043478260869565,51.0
accuracy,0.6954116498535633,0.6954116498535633,0.6954116498535633,0.6954116498535633
macro avg,0.3815368798738078,0.372581053938977,0.37643344272053086,3073.0
weighted avg,0.6854821825633071,0.6954116498535633,0.6902357730499853,3073.0
