,precision,recall,f1-score,support
ANGRY,0.03225806451612903,0.020491803278688523,0.02506265664160401,244.0
DISLIKE,0.09433962264150944,0.05434782608695652,0.06896551724137931,184.0
OTHER,0.749862258953168,0.5876511226252159,0.6589203582667635,2316.0
PESSIMISTIC,0.0876068376068376,0.1474820143884892,0.10991957104557641,278.0
WORRIED,0.017013232514177693,0.17647058823529413,0.03103448275862069,51.0
accuracy,0.46404165310771234,0.46404165310771234,0.46404165310771234,0.46404165310771234
macro avg,0.19621600324636437,0.19728867092292884,0.17878051719078877,3073.0
weighted avg,0.5815596569334313,0.46404165310771234,0.5131808957078261,3073.0
