,precision,recall,f1-score,support
ANGRY,0.125531914893617,0.24180327868852458,0.165266106442577,244.0
DISLIKE,0.18660287081339713,0.21195652173913043,0.19847328244274806,184.0
OTHER,0.8244084682440846,0.5716753022452504,0.6751657317695053,2316.0
PESSIMISTIC,0.19164619164619165,0.2805755395683453,0.22773722627737225,278.0
WORRIED,0.05511811023622047,0.4117647058823529,0.09722222222222222,51.0
accuracy,0.49495606898795963,0.49495606898795963,0.49495606898795963,0.49495606898795963
macro avg,0.2766615111667022,0.34355506962472077,0.272772913830885,3073.0
weighted avg,0.6607170168619252,0.49495606898795963,0.5560680543306448,3073.0
