,precision,recall,f1-score,support
ANGRY,0.14084507042253522,0.040983606557377046,0.06349206349206349,244.0
DISLIKE,0.358695652173913,0.1793478260869565,0.2391304347826087,184.0
OTHER,0.76875,0.9028497409326425,0.8304209690230342,2316.0
PESSIMISTIC,0.14210526315789473,0.09712230215827339,0.11538461538461539,278.0
WORRIED,0.0,0.0,0.0,51.0
accuracy,0.7032216075496258,0.7032216075496258,0.7032216075496258,0.7032216075496258
macro avg,0.2820791971508686,0.24406069514704992,0.24968561653646434,3073.0
weighted avg,0.6248930882984033,0.7032216075496258,0.6556537425402974,3073.0
